Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3,4.174387269895637,9.041921720351219,1,0,1,1,0,0,14,2,1,3,5,7,5,5,5,0,0,10,10,2,196.0,2,3,4,2,2,1,6,706.0,5,0.0,150.0,856.0,2,4,1,3,6.752270376141742,854,0,7.444248649496705,1.0,0.0,2,1,3,1,2,8,4,0,1,4,5.0,2,2.0,548.0,1,2,2,0,61,0,0,0,0,0,2,2008,2,3,12.247694320220994
2,20,3,4.382026634673881,9.169518377455928,1,0,1,1,2,0,11,1,1,3,3,6,8,31,31,0,0,4,3,1,0.0,1,3,2,2,2,4,4,978.0,5,0.0,284.0,1262.0,2,4,1,3,7.140453043101158,0,0,7.140453043101158,0.0,1.0,2,0,3,1,1,6,4,1,1,4,31.0,2,2.0,460.0,1,2,2,298,0,0,0,0,0,0,5,2007,2,3,12.109010932687042
3,60,3,4.219507705176107,9.328123407632566,1,1,1,1,0,0,14,2,1,3,5,7,5,7,6,0,0,10,10,2,162.0,2,3,4,2,2,2,6,486.0,5,0.0,434.0,920.0,2,4,1,3,6.824373670043086,866,0,7.487733761436444,1.0,0.0,2,1,3,1,2,6,4,1,1,4,7.0,2,2.0,608.0,1,2,2,0,42,0,0,0,0,0,9,2008,2,3,12.31716669303576
4,70,3,4.0943445622221,9.164296433474776,1,1,1,1,1,0,16,2,1,3,5,7,5,91,36,0,0,2,4,1,0.0,1,3,1,1,3,1,4,216.0,5,0.0,540.0,756.0,2,3,1,3,6.8679744089702925,756,0,7.448333860897476,1.0,0.0,1,0,3,1,2,7,4,1,3,2,8.0,1,3.0,642.0,1,2,2,0,35,272,0,0,0,0,2,2006,2,0,11.84939770159144
5,60,3,4.430816798843313,9.565213693968287,1,1,1,1,2,0,22,2,1,3,5,8,5,8,8,0,0,10,10,2,350.0,2,3,4,2,2,3,6,655.0,5,0.0,490.0,1145.0,2,4,1,3,7.0431599159883405,1053,0,7.6953031349635665,1.0,0.0,2,1,4,1,2,9,4,1,1,4,8.0,2,3.0,836.0,1,2,2,192,84,0,0,0,0,0,12,2008,2,3,12.429216196844383
6,50,3,4.442651256490317,9.55499334068759,1,1,1,1,0,0,9,2,1,3,1,5,5,16,14,0,0,10,10,1,0.0,1,3,3,2,2,1,6,732.0,5,0.0,64.0,796.0,2,4,1,3,6.679599185844383,566,0,7.216709486709457,1.0,0.0,1,1,1,1,1,5,4,0,1,4,16.0,1,2.0,480.0,1,2,2,40,30,0,320,0,0,700,10,2009,2,3,11.870599909242044
7,20,3,4.31748811353631,9.218705288307811,1,0,1,1,0,0,18,2,1,3,3,8,5,3,2,0,0,10,10,4,186.0,2,3,4,3,2,3,6,1369.0,5,0.0,317.0,1686.0,2,4,1,3,7.434847875211999,0,0,7.434847875211999,1.0,0.0,2,0,3,1,2,7,4,1,3,4,3.0,2,2.0,636.0,1,2,2,255,57,0,0,0,0,0,8,2007,2,3,12.634603026569334
8,60,3,4.23410650459726,9.247828816387175,1,1,1,1,1,0,12,5,1,3,5,7,6,36,36,0,0,6,5,4,240.0,1,3,2,2,2,2,4,859.0,1,32.0,216.0,1107.0,2,4,1,3,7.009408932708637,983,0,7.644919344958857,1.0,0.0,2,1,3,1,1,7,4,2,1,4,36.0,2,2.0,484.0,1,2,2,235,204,228,0,0,0,350,11,2009,2,3,12.206072645530174
9,50,1,3.9318256327243257,8.719317375506371,1,0,1,1,0,0,4,0,1,3,1,7,5,77,58,0,0,8,4,1,0.0,1,3,1,1,2,1,5,0.0,5,0.0,952.0,952.0,2,3,1,1,6.92951677076365,752,0,7.480992162869525,0.0,0.0,2,0,2,2,1,8,3,2,1,2,77.0,1,2.0,468.0,0,2,2,90,0,205,0,0,0,0,4,2008,2,0,11.77452020265869
10,190,3,3.912023005428146,8.911934336161426,1,0,1,1,1,0,3,0,0,0,2,5,6,69,58,0,0,4,3,1,0.0,1,3,1,1,2,1,6,851.0,5,0.0,140.0,991.0,2,4,1,3,6.981934677156389,0,0,6.981934677156389,1.0,0.0,1,0,2,2,1,5,4,2,1,4,69.0,2,1.0,205.0,2,2,2,0,4,0,0,0,0,0,1,2008,2,3,11.678439903447801
11,20,3,4.248495242049359,9.323669057283185,1,0,1,1,0,0,6,2,1,3,3,5,5,43,43,2,0,6,5,1,0.0,1,3,2,1,2,1,1,906.0,5,0.0,134.0,1040.0,2,4,1,3,6.946975992135418,0,0,6.946975992135418,1.0,0.0,1,0,3,1,1,5,4,0,1,2,43.0,1,1.0,384.0,1,2,2,0,0,0,0,0,0,0,2,2008,2,3,11.771436160121729
